id,kind,vertical,challenge,hook,cta,production_note,safety_note
seed-001,PROOF,fitness,Run 1 Mile,Did the boring rep anyway.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-002,PROOF,sports,Make the Shot,Did the boring rep anyway.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-003,PROOF,food,Cook Without Panicking,Did the boring rep anyway.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-004,PROOF,build,Ship One Thing,Did the boring rep anyway.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-005,PROOF,business,Talk to One Customer,Did the boring rep anyway.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-006,PROOF,study,45 Minute Lock-In,Did the boring rep anyway.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-007,PROOF,art,One Sketch,Did the boring rep anyway.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-008,PROOF,outdoors,Touch Grass,Did the boring rep anyway.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-009,PROOF,social,Reach Out 7,Did the boring rep anyway.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-010,PROOF,funny,Draw It From Memory,Did the boring rep anyway.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-011,FAIL,fitness,Run 1 Mile,This looked much easier in my head.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-012,FAIL,sports,Make the Shot,This looked much easier in my head.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-013,FAIL,food,Cook Without Panicking,This looked much easier in my head.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-014,FAIL,build,Ship One Thing,This looked much easier in my head.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-015,FAIL,business,Talk to One Customer,This looked much easier in my head.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-016,FAIL,study,45 Minute Lock-In,This looked much easier in my head.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-017,FAIL,art,One Sketch,This looked much easier in my head.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-018,FAIL,outdoors,Touch Grass,This looked much easier in my head.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-019,FAIL,social,Reach Out 7,This looked much easier in my head.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-020,FAIL,funny,Draw It From Memory,This looked much easier in my head.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-021,COMEBACK,fitness,Run 1 Mile,Yesterday won. Today did not.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-022,COMEBACK,sports,Make the Shot,Yesterday won. Today did not.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-023,COMEBACK,food,Cook Without Panicking,Yesterday won. Today did not.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-024,COMEBACK,build,Ship One Thing,Yesterday won. Today did not.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-025,COMEBACK,business,Talk to One Customer,Yesterday won. Today did not.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-026,COMEBACK,study,45 Minute Lock-In,Yesterday won. Today did not.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-027,COMEBACK,art,One Sketch,Yesterday won. Today did not.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-028,COMEBACK,outdoors,Touch Grass,Yesterday won. Today did not.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-029,COMEBACK,social,Reach Out 7,Yesterday won. Today did not.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-030,COMEBACK,funny,Draw It From Memory,Yesterday won. Today did not.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-031,FIRST DAY,fitness,Run 1 Mile,Starting before I feel ready.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-032,FIRST DAY,sports,Make the Shot,Starting before I feel ready.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-033,FIRST DAY,food,Cook Without Panicking,Starting before I feel ready.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-034,FIRST DAY,build,Ship One Thing,Starting before I feel ready.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-035,FIRST DAY,business,Talk to One Customer,Starting before I feel ready.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-036,FIRST DAY,study,45 Minute Lock-In,Starting before I feel ready.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-037,FIRST DAY,art,One Sketch,Starting before I feel ready.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-038,FIRST DAY,outdoors,Touch Grass,Starting before I feel ready.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-039,FIRST DAY,social,Reach Out 7,Starting before I feel ready.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-040,FIRST DAY,funny,Draw It From Memory,Starting before I feel ready.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-041,PR,fitness,Run 1 Mile,New best. Receipt attached.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
